frequency_hz,normalized_trace_db,insertion_loss_db
2078000000.0,-4.370117,4.370117
2079600000.0,-4.511719,4.511719
2081200000.0,-4.599609,4.599609
2082800000.0,-4.711914,4.711914
2084400000.0,-4.829102,4.829102
2086000000.0,-4.858398,4.858398
2087600000.0,-4.960938,4.960938
2089200000.0,-5.117188,5.117188
2090800000.0,-5.141602,5.141602
2092400000.0,-5.27832,5.27832
2094000000.0,-5.366211,5.366211
2095600000.0,-5.458984,5.458984
2097200000.0,-5.498047,5.498047
2098800000.0,-5.571289,5.571289
2100400000.0,-5.654297,5.654297
2102000000.0,-5.629883,5.629883
2103600000.0,-5.738008,5.738008
2105200000.0,-5.81543,5.81543
2106800000.0,-5.795898,5.795898
2108400000.0,-5.742188,5.742188
2110000000.0,-5.820312,5.820312
2111600000.0,-5.732422,5.732422
2113200000.0,-5.772188,5.772188
2114800000.0,-5.756836,5.756836
2116400000.0,-5.668945,5.668945
2118000000.0,-5.615234,5.615234
2119600000.0,-5.512695,5.512695
2121200000.0,-5.46875,5.46875
2122800000.0,-5.449219,5.449219
2124400000.0,-5.307617,5.307617
2126000000.0,-5.263672,5.263672
2127600000.0,-5.161133,5.161133
2129200000.0,-5.039062,5.039062
2130800000.0,-4.956055,4.956055
2132400000.0,-4.819336,4.819336
2134000000.0,-4.741211,4.741211
2135600000.0,-4.648438,4.648438
2137200000.0,-4.56543,4.56543
2138800000.0,-4.697266,4.697266
2140400000.0,-4.550781,4.550781
2142000000.0,-4.536133,4.536133
2143600000.0,-4.550781,4.550781
2145200000.0,-4.624023,4.624023
2146800000.0,-4.624023,4.624023
2148400000.0,-4.672852,4.672852
2150000000.0,-4.711914,4.711914
